EFSA Q number,Parameter
EFSA-Q-2019-00047,Moisture
EFSA-Q-2019-00047,Protein (N 9 6.25)
EFSA-Q-2019-00047,Ash
EFSA-Q-2019-00047,Fat
EFSA-Q-2019-00047,Fibre
EFSA-Q-2019-00047,Carotenoids
EFSA-Q-2019-00047,b-Carotene
EFSA-Q-2019-00047,Phylloquinone(Vitamins)
EFSA-Q-2019-00047,Boron(Minerals)
EFSA-Q-2019-00047,Copper(Minerals)
EFSA-Q-2019-00047,Molybdenum(Minerals)
EFSA-Q-2019-00047,Iron(Minerals)
EFSA-Q-2019-00047,Zinc(Minerals)
EFSA-Q-2019-00047,Manganese(Minerals)
EFSA-Q-2019-00047,Arsenic(Heavy metals)
EFSA-Q-2019-00047,Lead(Heavy metals)
EFSA-Q-2019-00047,Cadmium(Heavy metals)
EFSA-Q-2019-00047,Mercury(Heavy metals)
EFSA-Q-2019-00047,Oxalic acid(Antinutritional factors)
EFSA-Q-2019-00047,Lysino-alanine(Contaminants)
EFSA-Q-2019-00047,"Cyanotoxins (Microcystins-, Nodularin)(Contaminants)"
EFSA-Q-2019-00047,Nitrate(Contaminants)
EFSA-Q-2019-00047,Total colony count(Microbiological)
EFSA-Q-2019-00047,Bacillus cereus(Microbiological)
EFSA-Q-2019-00047,Clostridium perfringens(Microbiological)
EFSA-Q-2019-00047,Coagulase-positive(Staphylococci)(Microbiological)
EFSA-Q-2019-00047,Escherichia coli(Microbiological)
EFSA-Q-2019-00047,Enterobacteriaceae(Microbiological)
EFSA-Q-2019-00047,Listeria monocytogenes(Microbiological)
EFSA-Q-2019-00047,Salmonella spp.(Microbiological)
